ContigID,SPID,GeoF_ID,GeoM_ID,evalue
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10174,C1BJB1,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10174,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_5018,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10176,Q9D864,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10176,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_10092,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10182,P36975,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10182,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_26807,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1019,Q96C86,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1019,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_48115,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10190,Q8BH74,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10190,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_9906,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_102,Q8R0G9,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_102,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_13774,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10201,Q5R5H4,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10201,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_7006,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1021,P18172,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1021,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_275,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10214,Q9CZT4,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10214,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_1379,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10215,Q5XGY1,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10215,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_13615,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10221,P13676,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10221,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_234,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10249,Q64319,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10249,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_12239,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1025,Q9ERU9,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1025,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_2813,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10252,Q15375,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10252,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_52764,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1026,P55786,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1026,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_7624,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10265,Q2HJF4,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10265,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_10759,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10279,Q5ZMP6,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10279,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_3451,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1028,Q9Z2U1,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1028,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_1740,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10280,Q0KL02,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10280,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_31548,2.00E-169
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10281,Q9JKB5,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10281,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_6342,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1029,Q92794,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1029,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_6894,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10292,Q6NZH4,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10292,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_19620,2.00E-158
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_103,P23004,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_103,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_215,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10313,Q8IWV8,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10313,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_3250,4.00E-140
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10314,Q01814,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10314,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_7205,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10317,Q28GP7,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10317,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_4448,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10319,Q6Q4G4,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10319,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_53518,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10331,Q2M2S8,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10331,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_45398,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10342,Q96DF8,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10342,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_10574,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10352,Q810L3,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10352,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_25832,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1036,O15990,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1036,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_357,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1037,P23965,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1037,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_5310,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10380,Q9UBB5,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10380,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_21225,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10383,P06280,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10383,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_48000,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10387,Q8NI08,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10387,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_13420,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_104,Q25117,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_104,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_314,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10400,Q9VUJ0,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10400,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_8926,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10401,Q62172,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10401,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_26693,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10404,Q5RDW1,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10404,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_16533,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10405,O95671,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10405,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_109,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1041,Q2KHU8,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1041,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_340,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10429,Q9V0D5,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10429,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_37219,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10434,Q8WXR4,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10434,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_56070,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1044,Q28653,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1044,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_29043,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10459,P61277,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10459,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_22454,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10463,P23049,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10463,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_13718,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10469,O60306,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10469,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_28185,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1048,P04962,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1048,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_684,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1049,Q9UBQ7,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1049,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_26359,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1050,Q94887,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1050,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_61401,2.00E-124
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10500,Q28ID3,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10500,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_30702,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10503,Q6NRC9,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10503,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_5622,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10523,P56389,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10523,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_64909,3.00E-117
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10529,Q8JFW4,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10529,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_9276,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10545,Q5F3X8,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10545,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_3005,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1056,Q7KN62,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1056,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_1102,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10575,P54116,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10575,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_23266,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10578,Q6GMA4,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10578,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_52493,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10599,Q2KMM2,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10599,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_24305,1.00E-171
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1060,P27641,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1060,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_5147,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10606,P98165,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10606,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_2902,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10610,Q8BGV0,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10610,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_9591,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10613,P27169,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10613,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_4887,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10618,Q1RMT1,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10618,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_31819,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10621,Q6P2Q9,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10621,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_2345,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10622,Q60676,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10622,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_3575,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10627,Q2V2M9,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10627,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_6414,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10642,Q5RDE7,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10642,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_744,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10643,Q07598,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10643,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_24875,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10646,Q5PPJ4,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10646,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_12010,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10651,Q9WY68,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10651,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_57356,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10657,Q5XGY9,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10657,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_20427,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10669,Q7KZ85,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10669,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_28005,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10674,Q6P2X9,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10674,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_14619,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10675,P20000,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10675,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_10355,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10676,Q8BVE8,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10676,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_18446,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1068,P55061,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1068,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_5477,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10710,Q5XJS5,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10710,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_2775,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10711,Q8K4K5,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10711,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_30936,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10716,Q21929,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10716,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_30143,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10723,Q9P2K1,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10723,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_5308,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10744,P26686,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10744,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_860,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10746,Q5M7T9,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10746,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_6522,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10757,P34329,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10757,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_52150,8.00E-152
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10775,Q95M17,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10775,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_15430,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1078,Q5R7A8,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1078,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_917,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10789,Q4V7T8,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10789,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_903,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10809,Q61686,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10809,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_62,0
